product_id,title,category,platform,price,rating,reviews,description
1,Backpack,Beauty,Amazon,1510.12,4.8,80,This is a high-quality backpack available on Amazon.
2,Laptop,Footwear,Amazon,2379.64,4.7,612,This is a high-quality laptop available on Amazon.
3,Floral Dress,Electronics,eBay,808.01,3.9,939,This is a high-quality floral dress available on eBay.
4,Gaming Mouse,Footwear,Flipkart,441.77,2.9,446,This is a high-quality gaming mouse available on Flipkart.
5,Floral Dress,Electronics,Flipkart,2234.14,3.7,192,This is a high-quality floral dress available on Flipkart.
6,Makeup Kit,Accessories,Flipkart,377.99,4.9,79,This is a high-quality makeup kit available on Flipkart.
7,Leather Wallet,Beauty,Flipkart,1802.45,3.2,299,This is a high-quality leather wallet available on Flipkart.
8,Casual Shirt,Clothing,eBay,264.65,4.7,195,This is a high-quality casual shirt available on eBay.
9,Smartphone,Beauty,Flipkart,2347.59,3.7,17,This is a high-quality smartphone available on Flipkart.
10,Makeup Kit,Accessories,Amazon,1208.02,4.6,966,This is a high-quality makeup kit available on Amazon.
11,Leather Wallet,Clothing,Amazon,2130.53,3.4,175,This is a high-quality leather wallet available on Amazon.
12,Sunglasses,Clothing,eBay,2702.42,2.5,168,This is a high-quality sunglasses available on eBay.
13,Wireless Charger,Footwear,Amazon,2925.96,2.8,728,This is a high-quality wireless charger available on Amazon.
14,Laptop,Footwear,Amazon,2568.15,2.9,106,This is a high-quality laptop available on Amazon.
15,Wireless Charger,Footwear,Flipkart,1611.9,3.5,206,This is a high-quality wireless charger available on Flipkart.
16,Smartphone,Accessories,Amazon,1726.62,4.0,344,This is a high-quality smartphone available on Amazon.
17,LED Monitor,Beauty,eBay,1254.26,4.4,578,This is a high-quality led monitor available on eBay.
18,Smartphone,Beauty,Flipkart,332.76,4.0,464,This is a high-quality smartphone available on Flipkart.
19,Leather Wallet,Beauty,Amazon,1937.43,4.4,349,This is a high-quality leather wallet available on Amazon.
20,Formal Pants,Electronics,Amazon,1414.45,2.5,884,This is a high-quality formal pants available on Amazon.
21,Bluetooth Headphones,Beauty,Flipkart,1987.18,2.7,458,This is a high-quality bluetooth headphones available on Flipkart.
22,LED Monitor,Electronics,eBay,1740.76,2.5,743,This is a high-quality led monitor available on eBay.
23,LED Monitor,Accessories,Amazon,119.74,2.9,17,This is a high-quality led monitor available on Amazon.
24,Makeup Kit,Electronics,Flipkart,684.24,3.9,158,This is a high-quality makeup kit available on Flipkart.
25,LED Monitor,Clothing,Amazon,2811.55,4.7,511,This is a high-quality led monitor available on Amazon.
26,Wrist Watch,Accessories,eBay,172.83,3.8,130,This is a high-quality wrist watch available on eBay.
27,Leather Wallet,Clothing,Amazon,205.55,3.8,864,This is a high-quality leather wallet available on Amazon.
28,Smartphone,Beauty,Amazon,239.03,2.7,364,This is a high-quality smartphone available on Amazon.
29,Casual Shirt,Electronics,eBay,856.89,4.1,507,This is a high-quality casual shirt available on eBay.
30,Wireless Charger,Clothing,eBay,221.51,4.7,144,This is a high-quality wireless charger available on eBay.
31,Sneakers,Accessories,Amazon,534.07,3.5,122,This is a high-quality sneakers available on Amazon.
32,Wrist Watch,Beauty,Flipkart,2132.76,2.8,526,This is a high-quality wrist watch available on Flipkart.
33,Formal Pants,Beauty,eBay,2778.78,3.9,653,This is a high-quality formal pants available on eBay.
